"Calories","TotalSteps","TotalDistance","LoggedActivitiesDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","SedentaryActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","TimeTakenToSleep"
3089,5862,4.19999980926514,0,0,0,4.15000009536743,0,0,0,263,775,1,364,402,38
2926,5546,3.98000001907349,0,0,0,3.86999988555908,0.0399999991059303,0,0,206,774,1,442,494,52
2302,10210,6.88000011444092,0,0.109999999403954,0.330000013113022,6.44000005722046,0,1,9,339,589,1,535,557,22
1985,5664,3.79999995231628,0,0,0,3.79999995231628,0,0,0,228,752,1,465,491,26
1884,4744,3.1800000667572,0,0,0,3.1800000667572,0,0,0,194,724,1,506,522,16
1632,2276,1.54999995231628,0,0.0700000002980232,0.330000013113022,1.12000000476837,0,1,9,58,824,1,515,551,36
2200,8925,5.98999977111816,0,0,0,5.98999977111816,0,0,0,311,604,2,461,498,37
2220,8954,6.01000022888184,0,0,0.680000007152557,5.30999994277954,0,0,18,306,671,1,523,543,20
1792,3702,2.48000001907349,0,0,0,0.349999994039536,0,0,0,34,1265,1,59,65,6
1886,4500,3.01999998092651,0,0.0599999986588955,0.810000002384186,2.15000009536743,0,1,19,176,709,1,533,550,17
1945,4935,3.30999994277954,0,0,0,3.30999994277954,0,0,0,233,546,1,692,722,30
1880,4081,2.74000000953674,0,0.0599999986588955,0.200000002980232,2.47000002861023,0,1,5,191,692,1,467,501,34
2314,9259,6.21000003814697,0,0,0.280000001192093,5.92999982833862,0,0,8,390,544,1,488,506,18
2236,9899,6.6399998664856,0,0.569999992847443,0.920000016689301,5.15000009536743,0,8,21,288,649,1,505,516,11
2324,10780,7.23000001907349,0,0.409999996423721,1.91999995708466,4.90999984741211,0,6,47,300,680,1,286,307,21
2367,10817,7.28000020980835,0,1.00999999046326,0.330000013113022,5.94000005722046,0,13,8,359,552,1,497,522,25
2175,7990,5.3600001335144,0,0.449999988079071,0.790000021457672,4.11999988555908,0,6,18,289,624,1,523,546,23
2092,8221,5.51999998092651,0,0.400000005960464,1.61000001430511,3.50999999046326,0,6,38,196,695,1,490,516,26
1593,1251,0.839999973773956,0,0,0,0.839999973773956,0,0,0,67,836,1,484,500,16
2270,9261,6.23999977111816,0,0,0.439999997615814,5.71000003814697,0,0,11,344,585,1,478,506,28
2235,9648,6.46999979019165,0,0.579999983310699,1.07000005245209,4.82999992370605,0,8,26,287,669,1,474,512,38
2266,9524,6.42000007629395,0,0.409999996423721,0.469999998807907,5.46000003814697,0,6,11,314,692,1,450,491,41
2158,7937,5.32999992370605,0,0.189999997615814,1.04999995231628,4.07999992370605,0,3,28,279,586,1,507,530,23
1792,3672,2.46000003814697,0,0,0,2.46000003814697,0,0,0,153,603,1,602,638,36
2345,10378,6.96000003814697,0,0.140000000596046,0.560000002384186,6.25,0,2,14,374,490,1,535,565,30
2260,9487,6.36999988555908,0,0.209999993443489,0.46000000834465,5.69999980926514,0,3,12,329,555,1,487,517,30
2232,9129,6.13000011444092,0,0.200000002980232,0.740000009536743,5.17999982833862,0,3,18,311,574,1,529,558,29
257,17,0.00999999977648258,0,0,0,0.00999999977648258,0,0,0,2,0,1,302,321,19
3066,8758,6.73000001907349,0,0,0,6.73000001907349,0,0,0,299,837,1,499,526,27
3073,6580,5.05999994277954,0,0.209999993443489,0.400000005960464,4.44999980926514,0,6,9,253,609,2,426,448,22
2572,4660,3.57999992370605,0,0,0,3.57999992370605,0,0,0,201,721,2,619,641,22
3274,11009,9.10000038146973,0,3.55999994277954,0.400000005960464,5.1399998664856,0,27,8,239,1017,1,99,104,5
3015,10181,7.82999992370605,0,1.37000000476837,0.689999997615814,5.76999998092651,0,20,16,249,704,1,329,338,9
3083,10553,8.11999988555908,0,1.10000002384186,1.72000002861023,5.28999996185303,0,19,42,228,696,1,421,451,30
3069,10055,7.73000001907349,0,0.370000004768372,0.389999985694885,6.98000001907349,0,7,12,272,853,1,442,458,16
3544,12139,9.34000015258789,0,3.29999995231628,1.11000001430511,4.92000007629395,0,77,25,220,945,1,82,85,3
3306,13236,10.1800003051758,0,4.5,0.319999992847443,5.34999990463257,0,58,5,215,749,1,478,501,23
2885,10243,7.88000011444092,0,1.08000004291534,0.509999990463257,6.30000019073486,0,14,8,239,584,3,552,595,43
2929,9461,7.28000020980835,0,0.939999997615814,1.05999994277954,5.26999998092651,0,14,23,224,673,1,319,346,27
3074,11193,8.60999965667725,0,0.699999988079071,2.50999999046326,5.3899998664856,0,11,48,241,684,1,439,500,61
2969,10074,7.75,0,1.28999996185303,0.430000007152557,6.03000020980835,0,19,9,234,878,1,428,458,30
3283,12533,9.64000034332275,0,0.699999988079071,2,6.94000005722046,0,14,43,300,537,2,409,430,21
2926,10255,7.8899998664856,0,1.00999999046326,0.680000007152557,6.19999980926514,0,12,15,241,579,1,547,597,50
3147,10096,8.39999961853027,0,3.76999998092651,0.0799999982118607,4.55000019073486,0,33,4,204,935,2,368,376,8
